Instance,Total Vehicles,Population Size,Best Cost
CMT1,5,500,531.89
CMT2,9,500,104981.06
CMT1,5,500,531.89
CMT5,17,500,1444.05
CMT2,8,500,245002.70
CMT1,5,500,570.84
CMT1,5,500,570.84
CMT4,12,500,1127.51
CMT1,5,500,570.84
CMT1,5,500,534.78
CMT4,12,500,1127.51
CMT4,12,500,1127.51
CMT1,5,500,537.43
CMT1,5,500,534.78
CMT1,5,500,531.89
CMT1,5,500,538.42
CMT1,5,500,570.84
CMT1,5,500,570.84
CMT1,5,500,533.92
CMT1,5,500,537.09
CMT1,5,500,534.99
CMT1,5,500,534.75
CMT1,5,500,533.45
CMT4,12,500,1112.63
CMT4,12,500,1099.02
CMT4,12,500,1115.20
CMT5,17,500,1449.18
CMT5,17,500,1449.18
CMT1,5,500,533.91
